id_user;id_type_user;nom_user;prenom_user;mail_user;age_user;mobile_user;gps_x;gps_y;mobilite_reduite
1;1;Martin;Emma;emmamartin@gmail.com;20;674732751;49,063001;4,341981;Oui
2;1;Dubois;Léa;maelysdubois123@yahoo.com;42;658120540;48,374956;-0,380053;Non
3;1;Beranrd;Lucas;nathanthomas789@yahoo.com;64;688650291;44,644282;-1,487261;Non
4;1;Thomas;Hugo;inessimon932@hotmail.com;35;729850170;48,970098;1,470314;Non
5;2;Robert;Chloé;chloeleroy754@gmail.com;46;752534756;47,617908;0,524959;Non
6;1;Petit;Camille;lucasmartinez256@example.com;64;628001713;45,713167;3,358311;Non
7;1;Richard;Nathan;hugorobert327@yahoo.com;98;730452419;44,170568;1,789004;Non
8;1;Moreau;Manon;lisalambert421@hotmail.com;62;617779141;45,65813;1,439749;Non
9;2;Laurent;Théo;camilledupont555@gmail.com;24;612649961;49,130546;1,71344;Non
10;2;Garcia;Inès;enzobernard876@example.com;53;678338513;46,359261;4,259464;Non
11;1;Martinez;Noé;emmanguyen678@hotmail.com;53;723012157;48,765094;4,244422;Non
12;1;Lefebvre;Lisa;tommorreau789@gmail.com;24;648292606;49,968263;3,883325;Non
13;1;Leroy;Enzo;jaderichard876@example.com;54;784088161;44,424006;-2,625958;Non
14;1;Simo ;Sarah;lolapetit234@yahoo.com;75;677615498;47,707383;-2,907977;Non
15;1;Mathieu;Jade;sarahgarcia111@gmail.com;42;722402583;45,770542;3,757591;Non
16;2;Lemoine;Louis;noemathieu789@example.com;64;759125150;48,72009;2,012423;Non
17;1;Durand;Maelys;theolefebvre555@hotmail.com;35;643292596;44,55098;-0,847703;Non
18;2;Dupont;Tom;manonlaurent432@gmail.com;24;759859834;45,30821;4,872884;Non
19;1;Lambert;Lola;ethandurand123@example.com;46;684679981;46,075171;2,54898;Non
20;2;Nguyen;Ethan;leamartin333@yahoo.com;46;606419987;44,824783;2,183356;Non
